singlesheet.csv,_2018,_2017,_2016,_2015,_2014,_2013,_2012,_2011,_2010
1,Capcom,Bethesda Softworks,Electronic Arts,Sega,Nintendo,Take-Two Interactive,Electronic Arts,Microsoft,Take-Two Interactive
2,Sega,Nintendo,Square Enix,Telltale Games,Ubisoft,Ubisoft,Microsoft,Nintendo,Nintendo
3,Electronic Arts,Sega,Nintendo,Sony,Electronic Arts,Electronic Arts,Sony,Sony,Capcom
4,Nintendo,Activision Blizzard,Sony,Activision Blizzard,Sony,Nintendo,Nintendo,Electronic Arts,Microsoft
5,Ubisoft,Capcom,XSEED Games (Marvelous USA),Devolver Digital,Square Enix,Sony,Capcom,Square Enix,Electronic Arts
6,Sony,Ubisoft,Capcom,Nintendo,Microsoft,Microsoft,Warner Bros. Interactive,Ubisoft,Activision Blizzard
7,Square Enix,Sony,Activision Blizzard,Electronic Arts,Bandai Namco Games,Sega,Ubisoft,Sega,Sony
8,Bandai Namco Entertainment,Square Enix,Bandai Namco Entertainment,Bandai Namco Games,Activision Blizzard,Activision Blizzard,Konami,THQ,Square Enix
9,Digerati Distribution,Bandai Namco,Telltale Games,Ubisoft,,Namco Bandai,Sega,Namco Bandai,Sega
10,NIS America,Koei Tecmo Games,Ubisoft,,,,Activision Blizzard,Konami,Namco Bandai
11,Plug In Digital,NIS America,,,,,Namco Bandai,Activision Blizzard,THQ
12,Focus Home Interactive,Telltale Games,,,,,,,Ubisoft
13,THQ Nordic,,,,,,,,Konami
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,,,,